Feature,Importance
birth_weight,0.15635978813352158
mother_education_No,0.11581527312100473
wealth_index_Poor,0.09088680365546667
institutional_delivery_Yes,0.0726987681071187
institutional_delivery_No,0.07039912110984456
vaccination_status_Yes,0.05919836139453509
vaccination_status_No,0.05820658399773914
father_age,0.04506526088549527
mother_age,0.04452524731654943
antenatal_visits,0.039106591410972086
wealth_index_Middle,0.032446631522669134
birth_order,0.03061207054798902
wealth_index_Rich,0.025412871021957988
low_birth_interval_Yes,0.023363284605181868
low_birth_interval_No,0.022816920575554255
toilet_facility_No,0.021517911293768337
toilet_facility_Yes,0.021166661974661903
mother_education_Primary,0.01570183385050085
mother_education_Secondary,0.01548695874652778
mother_education_Higher,0.010928010647056043
residence_Urban,0.007850837315906418
residence_Rural,0.007737455375982142
access_to_water_Yes,0.00644030877744547
access_to_water_No,0.006256444612551426
